Date,Islamic Date,Blast Day Type,Holiday Type,City,Province,Target Type,Killed Max,Injured Max,No. of Suicide Blasts,Explosive Weight (max),VicTams
Sunday-November 19-1995,25 Jumaada al-THaany 1416 A.H,Holiday,Weekend,Islamabad,Capital,Foreigner,15,60,2,3.5,75
Monday-November 6-2000,10 SHa`baan 1421 A.H,Working Day,nan,Karachi,Sindh,Media,3,3,1,1,6
Wednesday-May 8-2002,25 safar 1423 A.H,Working Day,nan,Karachi ,Sindh,Foreigner,15,40,1,4.5,55
Friday-June 14-2002,3 Raby` al-THaany 1423 A.H,Working Day,nan,Karachi,Sindh,Foreigner,12,51,1,5.5,63
Friday-July 4-2003,4 Jumaada al-awal 1424 A.H,Working Day,nan,Quetta,Baluchistan,Religious,47,65,1,8,112
Thursday-December 25-2003,2 Thw al-Qi`dah 1424 A.H.,Holiday,Christmas/birthday of Quaid-e-Azam,Rawalpindi,Punjab,Military,18,50,2,3,68
Saturday-February 28-2004,8 MuHarram 1425 A.H,Working Day,nan,Rawalpindi,Punjab,Religious,1,4,1,1,5
Friday-May 7-2004,18 Raby` al-awal 1425 A.H,Working Day,nan,Karachi ,Sindh,Religious,15,200,1,15,215
Monday-May 31-2004,nan,Working Day,nan,Karachi ,Sindh,Religious,18,35,1,4.5,53
Thursday-June 3-2004,15 Raby` al-THaany 1425 A.H,Working Day,nan,North waziristan,FATA,Military,2,2,1,1,4
Wednesday-July 28-2004,11 Jumaada al-THaany 1425 A.H,Working Day,nan,Kohat,KPK,Military,3,3,2,0.5,6
Friday-July 30-2004,13 Jumaada al-THaany 1425 A.H,Working Day,nan,Attock ,Punjab,Government Official,7,70,1,6.5,77
Friday-October 1-2004,17 SHa`baan 1425 A.H,Working Day,nan,Sialkot,Punjab,Religious,31,75,1,7.5,106
Sunday-October 10-2004,26 SHa`baan 1425 A.H.,Holiday,Weekend,Lahore ,Punjab,Religious,5,10,1,1.5,15
Saturday-March 19-2005,9 safar 1426 A.H,Working Day,nan,Quetta,Baluchistan,Religious,50,100,1,12.5,150
Thursday-April 28-2005,19 Raby` al-awal 1426 A.H,Working Day,nan,Swat,KPK,civilian,2,0,1,0.5,2
Friday-May 27-2005,19 Raby` al-THaany 1426 A.H,Working Day,nan,Islamabad,Capital,Civilian,25,100,1,10,125
Monday-May 30-2005,22 Raby` al-THaany 1426 A.H,Working Day,nan,Karachi ,Sindh,Religious,6,30,1,3.5,36
Thursday-February 9-2006,10 MuHarram 1427 A.H,Holiday,Ashura,Hangu,KPK,Religious,40,0,1,4,40
Thursday-March 2-2006,2 safar 1427 A.H.,Working Day,nan,Karachi,Sindh,Foreigner,5,54,1,5,59
Wednesday-April 12-2006,14 Raby` al-awal 1427 A.H,Holiday,Eid Milad un-Nabi,Karachi ,Sindh,Religious,57,100,1,13,157
Friday-June 2-2006,6 Jumaada al-awal 1427 A.H,Working Day,nan,Bannu,KPK,Military,7,8,1,2,15
Monday-June 26-2006,30 Jumaada al-awal 1427 A.H,Working Day,nan,North Waziristan,FATA,Military,7,26,1,2.5,33
Sunday-August 6-2006,12 Rajab 1427 A.H,Holiday,Weekend,Lasbela,Baluchistan,Civilian,1,0,1,0.5,1
Wednesday-November 8-2006,17 SHawwal 1427 A.H,Working Day,nan,Malakand ,KPK,Military,42,39,1,6.5,81
Friday-November 17-2006,26 SHawwal 1427 A.H.,Working Day,nan,Peshawar,KPK,Police,1,2,1,0.5,3
Sunday-December 3-2006,12 Thw al-Qi`dah 1427 A.H.,Holiday,Weekend,Bannu,KPK,Police,1,1,1,0.5,2
Monday-January 22-2007,3 MuHarram 1428 A.H,Working Day,nan,North Waziristan,FATA,Military,5,25,1,2.5,30
Friday-January 26-2007,7 MuHarram 1428 A.H,Working Day,nan,Islamabad,Capital,Foreigner,2,7,1,1.5,9
Saturday-January 27-2007,8 MuHarram 1428 A.H,Working Day,nan,Peshawar ,KPK,Civilian,15,60,1,6.5,75
Monday-January 29-2007,10 MuHarram 1428 A.H,Holiday,Ashura,D.I Khan ,KPK,Civilian,3,7,1,1,10
Saturday-February 3-2007,15 MuHarram 1428 A.H.,Working Day,nan,Lakki Marwat,KPK,Civilian,1,0,1,0.5,1
Saturday-February 3-2007,15 MuHarram 1428 A.H.,Working Day,nan,Tank,KPK,Military,2,8,1,1,10
Tuesday-February 6-2007,18 MuHarram 1428 A.H.,Working Day,nan,Islamabad ,Capital,Civilian,1,10,1,1,11
Saturday-February 17-2007,29 MuHarram 1428 A.H,Working Day,nan,Quetta ,Baluchistan,Civilian,17,35,1,4,52
Thursday-March 29-2007,10 Raby` al-awal 1428 A.H,Working Day,nan,Gujrat,Punjab,Military,2,8,1,1,10
Saturday-April 28-2007,11 Raby` al-THaany 1428 A.H.,Working Day,nan,Charsadda,KPK,Government Official,35,60,1,8,95
Tuesday-May 15-2007,28 Raby` al-THaany 1428 A.H,Working Day,nan,Peshawar ,KPK,Foreigner,26,35,1,5.5,61
Monday-May 28-2007,11 Jumaada al-awal 1428 A.H,Working Day,nan,Tank ,KPK,Military,3,2,1,1,5
Wednesday-July 4-2007,19 Jumaada al-THaany 1428 A.H,Working Day,nan,North Waziristan,FATA,Military,10,12,1,2,22
Thursday-July 12-2007,27 Jumaada al-THaany 1428 A.H,Working Day,nan,Swat ,KPK,Military,7,8,1,1.5,15
Thursday-July 12-2007,27 Jumaada al-THaany 1428 A.H,Working Day,nan,North Waziristan,FATA,Government official,4,3,1,1,7
Saturday-July 14-2007,29 Jumaada al-THaany 1428 A.H,Working Day,nan,North Waziristan,FATA,Military,24,29,1,4.5,53
Sunday-July 15-2007,1 Rajab 1428 A.H,Holiday,Weekend,D.I Khan,KPK,Police,30,61,1,7.5,91
Sunday-July 15-2007,1 Rajab 1428 A.H,Holiday,Weekend,Swat ,KPK,Police,20,47,1,5.5,67
Tuesday-July 17-2007,3 Rajab 1428 A.H,Working Day,nan,Islamabad ,Capital,Government official,17,70,1,8,87
Tuesday-July 17-2007,3 Rajab 1428 A.H,Working Day,nan,North Waziristan,FATA,Military,4,3,1,1,7
Thursday-July 19-2007,5 Rajab 1428 A.H,Working Day,nan,Lasbela,Baluchistan,Foreigner,30,50,1,7,80
Thursday-July 19-2007,5 Rajab 1428 A.H,Working Day,nan,Hangu,KPK,Police,8,35,1,3.5,43
Thursday-July 19-2007,5 Rajab 1428 A.H,Working Day,nan,Kohat ,KPK,Religious,20,58,1,6.5,78
Friday-July 20-2007,6 Rajab 1428 A.H,Working Day,nan,North Waziristan,FATA,Military,4,6,1,1,10
Friday-July 27-2007,13 Rajab 1428 A.H,Working Day,nan,Islamabad ,Capital,Police,15,70,1,7.5,85
Friday-August 3-2007,20 Rajab 1428 A.H.,Working Day,nan,Swat ,KPK,civilian,2,6,1,1.5,8
Saturday-August 4-2007,21 Rajab 1428 A.H,Working Day,nan,Kuram Agency ,FATA,civilian,23,43,1,5.5,66
Friday-August 17-2007,4 SHa`baan 1428 A.H,Working Day,nan,Tank,KPK,Military,0,5,1,0.5,5
Sunday-August 19-2007,6 SHa`baan 1428 A.H,Holiday,Weekend,North Waziristan,FATA,Military,2,2,1,0.5,4
Sunday-August 19-2007,6 SHa`baan 1428 A.H,Holiday,Weekend,Bannu,KPK,Police,1,4,1,1,5
Monday-August 20-2007,7 SHa`baan 1428 A.H,Working Day,nan,Hangu,KPK,Military,7,18,1,2,25
Friday-August 24-2007,11 SHa`baan 1428 A.H,Working Day,nan,North Waziristan,FATA,Military,7,37,2,2,44
Sunday-August 26-2007,13 SHa`baan 1428 A.H,Holiday,Weekend,Shangla ,KPK,police,4,2,1,1,6
Saturday-September 1-2007,19 SHa`baan 1428 A.H,Working Day,nan,Bajaur Agency,FATA,Military,7,9,1,1.5,16
Saturday-September 1-2007,19 SHa`baan 1428 A.H,Working Day,nan,South Waziristan,FATA,Military,0,0,1,0.5,0
Tuesday-September 4-2007,22 SHa`baan 1428 A.H,Working Day,nan,Rawalpindi,Punjab,Military,25,0,2,1.5,25
Tuesday-September 4-2007,22 SHa`baan 1428 A.H,Working Day,nan,Rawalpindi,Punjab,Military,7,12,1,1.5,19
Tuesday-September 11-2007,29 SHa`baan 1428 A.H,Working Day,nan,D.I Khan,KPK,Civilian,19,19,1,3,38
Thursday-September 13-2007,1 RamaDHaan 1428 A.H,Working Day,nan,Haripur,KPK,Military,20,46,1,5.5,66
Saturday-September 22-2007,10 RamaDHaan 1428 A.H,Working Day,nan,Tank,KPK,Military,5,10,1,2,15
Monday-October 1-2007,19 RamaDHaan 1428 A.H,Working Day,nan,bannu,KPK,police,16,32,1,4,48
Thursday-October 18-2007,6 SHawwal 1428 A.H,Working Day,nan,karachi ,Sindh,Government Official,145,550,2,30,695
Thursday-October 25-2007,13 SHawwal 1428 A.H,Working Day,nan,Swat,KPK,Military,38,35,1,6,73
Tuesday-October 30-2007,18 SHawwal 1428 A.H,Working Day,nan,Rawalpindi,Punjab,Military,8,31,1,3.5,39
Thursday-November 1-2007,20 SHawwal 1428 A.H,Working Day,nan,Sargodha,Punjab,Military,10,40,1,4.5,50
Friday-November 9-2007,28 SHawwal 1428 A.H,Holiday,Iqbal Day,Peshawar,KPK,Government Official,4,5,1,2,9
Saturday-November 24-2007,14 Thw al-Qi`dah 1428 A.H,Working Day,nan,Rawalpindi,Punjab,Military,38,35,1,6,73
Saturday-November 24-2007,14 Thw al-Qi`dah 1428 A.H,Working Day,nan,Rawalpindi,Punjab,Military,1,5,1,0.5,6
Tuesday-December 4-2007,24 Thw al-Qi`dah 1428 A.H,Working Day,nan,Peshawar,KPK,Military,1,0,1,0.5,1
Sunday-December 9-2007,29 Thw al-Qi`dah 1428 A.H,Holiday,Weekend,Swat,KPK,Police,13,2,1,1.5,15
Monday-December 10-2007,30 Thw al-Qi`dah 1428 A.H,Working Day,nan,Attock ,Punjab,Children/Women,0,22,1,2,22
Thursday-December 13-2007,3 Thw al-Hijjah 1428 A.H,Working Day,nan,Quetta ,Baluchistan,Military,12,23,2,2,35
Saturday-December 15-2007,5 Thw al-Hijjah 1428 A.H,Working Day,nan,Nowshehra,KPK,Military,6,20,1,2.5,26
Monday-December 17-2007,7 Thw al-Hijjah 1428 A.H,Working Day,nan,Kohat,KPK,Military,12,5,1,2,17
Friday-December 21-2007,13 Thw al-Hijjah 1428 A.H,Holiday,Eid-ul-azha,Charsadda ,KPK,Civilian,60,200,1,22,260
Sunday-December 23-2007,13 Thw al-Hijjah 1428 A.H,Holiday,Weekend,Swat,KPK,Military,14,23,1,3,37
Thursday-December 27-2007,17 Thw al-Hijjah 1428 A.H,Working Day,nan,Rawalpindi,Punjab,Government official,30,70,1,9,100
Monday-January 7-2008,28 Thw al-Hijjah 1428 A.H,Working Day,nan,Swat,KPK,Military,0,13,1,1,13
Thursday-January 10-2008,1 MuHarram 1429 A.H,Working Day,nan,Lahore ,Punjab,Police,26,80,1,10,106
Tuesday-January 15-2008,6 MuHarram 1429 A.H,Working Day,nan,Mohmand agency,FATA,Military,1,0,1,0.5,1
Thursday-January 17-2008,8 MuHarram 1429 A.H,Working Day,nan,Peshawar,KPK,Religious,12,25,1,3,37
Friday-February 1-2008,23 MuHarram 1429 A.H,Working Day,nan,North Waziristan,FATA,Police,7,15,1,2.5,22
Monday-February 4-2008,26 MuHarram 1429 A.H.,Working Day,nan,Rawalpindi,Punjab,Military,10,47,1,5.5,57
Tuesday-February 5-2008,27 MuHarram 1429 A.H,Working Day,nan,Quetta ,Baluchistan,Civilian,1,1,1,0.5,2
Saturday-February 9-2008,2 safar 1429 A.H.,Working Day,nan,Charsadda ,KPK,Government Official,27,51,1,6.5,78
Monday-February 11-2008,4 safar 1429 A.H,Working Day,nan,North Waziristan,FATA,Government official,10,13,1,1.5,23
Saturday-February 16-2008,9 safar 1429 A.H.,Working Day,nan,Swat,KPK,Military,3,18,1,2,21
Saturday-February 16-2008,9 safar 1429 A.H.,Working Day,nan,Kuram Agency ,FATA,Government official,47,110,1,13,157
Monday-February 25-2008,18 safar 1429 A.H,Working Day,nan,Rawalpindi,Punjab,Military,8,30,1,3.5,38
Friday-February 29-2008,22 safar 1429 A.H.,Working Day,nan,Swat,KPK,Police,45,100,1,11,145
Saturday-March 1-2008,23 safar 1429 A.H.,Working Day,nan,Bajaur Agency,FATA,Military,2,23,1,2.5,25
Sunday-March 2-2008,24 safar 1429 A.H.,Holiday,Weekend,Dara Adam Khel,KPK,Anti-Militants,43,60,1,8.5,103
Tuesday-March 4-2008,26 safar 1429 A.H,Working Day,nan,Lahore ,Punjab,Military,8,24,2,1.5,32
Tuesday-March 11-2008,3 Raby` al-awal 1429 A.H,Working Day,nan,Lahore ,Punjab,Government Official,31,200,1,20,231
Tuesday-March 11-2008,3 Raby` al-awal 1429 A.H,Working Day,nan,Lahore ,Punjab,Civilian,6,12,1,2.5,18
Monday-March 17-2008,9 Raby` al-awal 1429 A.H.,Working Day,nan,Swat,KPK,Police,3,7,1,1.5,10
Thursday-March 20-2008,12 Raby` al-awal 1429 A.H.,Holiday,Eid Milad un-Nabi,South Waziristan,FATA,Military,5,11,1,2,16
Thursday-May 1-2008,25 Raby` al-THaany 1429 A.H,Holiday,Labour Day,Khyber Agency,FATA,Religious,2,30,1,3,32
Tuesday-May 6-2008,1 Jumaada al-awal 1429 A.H,Working Day,nan,Bannu,KPK,Police,7,15,1,2,22
Friday-May 9-2008,4 Jumaada al-awal 1429 A.H,Working Day,nan,Swat,KPK,Police,1,4,1,0.5,5
Sunday-May 18-2008,13 Jumaada al-awal 1429 A.H.,Holiday,Weekend,Mardan,KPK,Military,13,25,1,3.5,38
Monday-June 2-2008,28 Jumaada al-awal 1429 A.H.,Working Day,nan,Islamabad,Capital,Foreigner,8,30,1,3.5,38
Sunday-July 6-2008,3 Rajab 1429 A.H.,Holiday,Weekend,Islamabad,Capital,Police,20,47,1,6,67
Sunday-July 13-2008,10 Rajab 1429 A.H,Holiday,Weekend,D.I Khan,KPK,Religious,1,4,1,1,5
Wednesday-August 13-2008,12 SHa`baan 1429 A.H,Working Day,nan,Lahore ,Punjab,Police,9,35,1,3.5,44
Tuesday-August 19-2008,18 SHa`baan 1429 A.H.,Working Day,nan,D.I Khan,KPK,Civilian,32,55,1,7.5,87
Thursday-August 21-2008,20 SHa`baan 1429 A.H,Working Day,nan,Rawalpindi,Punjab,Government Official,100,200,2,15,300
Saturday-August 23-2008,22 SHa`baan 1429 A.H,Working Day,nan,Swat,KPK,Police,15,20,1,3,35
Friday-August 29-2008,28 SHa`baan 1429 A.H,Working Day,nan,Kohat,KPK,Military,5,39,1,4,44
Saturday-September 6-2008,6 RamaDHaan 1429 A.H,Working Day,nan,Peshawar,KPK,Police,35,90,1,10,125
Tuesday-September 16-2008,16 RamaDHaan 1429 A.H,Working Day,nan,Swat,KPK,Police,10,25,1,3.5,35
Saturday-September 20-2008,20 RamaDHaan 1429 A.H,Working Day,nan,North waziristan,KPK,Military,17,20,1,3,37
Saturday-September 20-2008,20 RamaDHaan 1429 A.H,Working Day,nan,Islamabad,Capital,Foreigner,60,300,1,35,360
Monday-September 22-2008,22 RamaDHaan 1429 A.H,Working Day,nan,Swat,KPK,Military,13,3,1,1.5,16
Wednesday-September 24-2008,24 RamaDHaan 1429 A.H,Working Day,nan,Quetta,Baluchistan,Military,14,25,1,3,39
Friday-October 3-2008,3 SHawwal 1429 A.H,Holiday,Eid-ul-Fitar,Peshawar,KPK,Government Official,5,18,1,2,23
Monday-October 6-2008,6 SHawwal 1429 A.H,Working Day,nan,Bhakkar ,Punjab,Government Official,26,100,1,11,126
Thursday-October 9-2008,9 SHawwal 1429 A.H,Working Day,nan,Islamabad,Capital,Police,8,12,1,2,20
Thursday-October 9-2008,9 SHawwal 1429 A.H,Working Day,nan,Khyber Agency,FATA,Foreigner,78,134,1,17,212
Friday-October 10-2008,10 SHawwal 1429 A.H,Working Day,nan,Orakzai Agency,FATA,Anti-Militants,85,200,1,25,285
Thursday-October 16-2008,16 SHawwal 1429 A.H,Working Day,nan,Swat,KPK,Police,4,27,1,3,31
Sunday-October 26-2008,26 SHawwal 1429 A.H,Holiday,Weekend,Mohmand Agency,FATA,Military,10,5,1,1.5,15
Wednesday-October 29-2008,29 SHawwal 1429 A.H.,Working Day,nan,Bannu,KPK,Military,9,14,1,2,23
Friday-October 31-2008,2 Thw al-Qi`dah 1429 A.H,Working Day,nan,Mardan,KPK,Police,10,25,1,3.5,35
Sunday-November 2-2008,5 Thw al-Qi`dah 1429 A.H,Holiday,Weekend,South Waziristan,FATA,Military,8,8,1,1.5,16
Tuesday-November 4-2008,6 Thw al-Qi`dah 1429 A.H,Working Day,nan,Hangu,KPK,Police,7,4,1,1,11
Thursday-November 6-2008,8 Thw al-Qi`dah 1429 A.H,Working Day,nan,Swat,KPK,Police,2,10,1,1,12
Thursday-November 6-2008,8 Thw al-Qi`dah 1429 A.H,Working Day,nan,Bajaur Agency,FATA,Anti-Militants,23,45,1,5.5,68
Tuesday-November 11-2008,13 Thw al-Qi`dah 1429 A.H,Working Day,nan,Peshawar,KPK,Government Official,4,20,1,2.5,24
Wednesday-November 12-2008,14 Thw al-Qi`dah 1429 A.H,Working Day,nan,Charsadda,KPK,Military,7,12,1,1.5,19
Monday-November 17-2008,19 Thw al-Qi`dah 1429 A.H.,Working Day,nan,Swat,KPK,Military,10,8,1,2,18
Thursday-November 20-2008,22 Thw al-Qi`dah 1429 A.H.,Working Day,nan,Bajaur Agency,FATA,Religious,9,0,1,1,9
Friday-November 28-2008,30 Thw al-Qi`dah 1429 A.H.,Working Day,nan,Buner,KPK,Police,9,16,1,2,25
Monday-December 1-2008,3 Thw al-Hijjah 1429 A.H,Working Day,nan,Swat,KPK,Military,10,50,1,5,60
Wednesday-December 3-2008,5 Thw al-Hijjah 1429 A.H,Working Day,nan,Charsadda,KPK,Military,6,10,1,2,16
Friday-December 5-2008,8 Thw al-Hijjah 1429 A.H,Working Day,nan,Orakzai Agency,KPK,Civilian,10,15,1,2.5,25
Tuesday-December 9-2008,11 Thw al-Hijjah 1429 A.H,Working Day,nan,Buner,KPK,Government Official,1,4,1,1,5
Sunday-December 28-2008,nan,Holiday,Weekend,Buner,KPK,Government official,37,16,2,2.5,53
Sunday-January 4-2009,7 MuHarram 1430 A.H,Holiday,Weekend,D.I Khan,KPK,Police,10,25,1,3,35
Sunday-January 4-2009,7 MuHarram 1430 A.H,Holiday,Weekend,Bannu,KPK,Police,1,2,1,1,3
Friday-January 23-2009,26 MuHarram 1430 A.H. ,Working Day,nan,Swat,KPK,Military,2,25,1,2.5,27
Thursday-February 5-2009,10 safar 1430 A.H.,Working Day,nan,D.G Khan ,Punjab,Religious,32,55,1,7.5,87
Thursday-February 5-2009,10 safar 1430 A.H.,Working Day,nan,Swat,KPK,Police,12,0,1,1.5,12
Friday-February 6-2009,11 safar 1430 A.H,Working Day,nan,Khyber Agency,FATA,Foreigner,0,7,1,1,7
Monday-February 9-2009,14 safar 1430 A.H,Working Day,nan,Bannu,KPK,Police,5,18,1,2,23
Friday-February 20-2009,25 safar 1430 A.H,Working Day,nan,D.I Khan ,KPK,Civilian,36,200,1,20,236
Saturday-February 21-2009,26 safar 1430 A.H,Working Day,nan,Bannu,KPK,Police,2,0,1,1,2
